기간,중분류코드,중분류코드분류명,건강보험 | 청구량,건강보험 | 청구금액,의료급여 | 청구량,의료급여 | 청구금액
2025년 12월,040019,비금속성 ANCHOR,24299,5374454616,925,203103819
2025년 11월,040019,비금속성 ANCHOR,17753,3924791451,646,142538738
2025년 10월,040019,비금속성 ANCHOR,22244,4928349756,929,203133950
2025년 09월,040019,비금속성 ANCHOR,24286,5369965435,879,192852914
2025년 08월,040019,비금속성 ANCHOR,21621,4784800213,747,163770124
2025년 07월,040019,비금속성 ANCHOR,25222,5571350533,956,209606971
2025년 06월,040019,비금속성 ANCHOR,22401,4951761266,884,193981358
2025년 05월,040019,비금속성 ANCHOR,23463,5154780731,958,208946317
2025년 04월,040019,비금속성 ANCHOR,25521,5556887125,891,191965233
2025년 03월,040019,비금속성 ANCHOR,24636,5348378972,715,152399081
2025년 02월,040019,비금속성 ANCHOR,26242,5706466416,747,160530693
2025년 01월,040019,비금속성 ANCHOR,22822,4967036170,694,150433998
2024년 12월,040019,비금속성 ANCHOR,23617,5130551328,872,185819965
2024년 11월,040019,비금속성 ANCHOR,19393,4224015257,671,145300935
2024년 10월,040019,비금속성 ANCHOR,19956,4334584843,753,162096309
2024년 09월,040019,비금속성 ANCHOR,21037,4574722017,651,139277463
2024년 08월,040019,비금속성 ANCHOR,21668,4708729046,748,161173351
2024년 07월,040019,비금속성 ANCHOR,22494,4888691754,838,180207410
2024년 06월,040019,비금속성 ANCHOR,18818,4082755061,597,128892379
2024년 05월,040019,비금속성 ANCHOR,21944,4760082143,764,163426248
2024년 04월,040019,비금속성 ANCHOR,23255,5043645886,697,150429946
2024년 03월,040019,비금속성 ANCHOR,22336,4833215054,624,133868859
2024년 02월,040019,비금속성 ANCHOR,24725,5367221089,745,159733797
2024년 01월,040019,비금속성 ANCHOR,24054,5207562358,756,162823796
2023년 12월,040019,비금속성 ANCHOR,19186,4155832807,747,158743074
2023년 11월,040019,비금속성 ANCHOR,16511,3573301095,588,125259731
2023년 10월,040019,비금속성 ANCHOR,19498,4218687447,696,148858830
2023년 09월,040019,비금속성 ANCHOR,18152,3915029982,675,143888041
2023년 08월,040019,비금속성 ANCHOR,22068,4756211750,813,172728871
2023년 07월,040019,비금속성 ANCHOR,20343,4392123709,757,160878540
2023년 06월,040019,비금속성 ANCHOR,20013,4313207593,711,152131307
2023년 05월,040019,비금속성 ANCHOR,22914,4912894558,812,172581705
2023년 04월,040019,비금속성 ANCHOR,20556,4361796216,814,171086648
2023년 03월,040019,비금속성 ANCHOR,26174,5559821283,696,146423907
2023년 02월,040019,비금속성 ANCHOR,22858,4841334324,645,134801055
2023년 01월,040019,비금속성 ANCHOR,23515,4984680544,810,169592457
